iter	Logloss
0	0.6810678864
1	0.6692874146
2	0.6588121033
3	0.647802887
4	0.6376063156
5	0.6280899048
6	0.6197740936
7	0.6111026001
8	0.6030446625
9	0.5967346191
10	0.5900669861
11	0.5833041382
12	0.5799147034
13	0.5749564743
14	0.5699969864
15	0.5632170105
16	0.5577523041
17	0.5531539536
18	0.5483121109
19	0.5447660828
20	0.5400828171
21	0.5352787781
22	0.5317800522
23	0.5272118378
24	0.5231734848
25	0.5203874207
26	0.5171653748
27	0.5137331009
28	0.5104700851
29	0.5098069763
30	0.507155304
31	0.5042297745
32	0.5014198685
33	0.4986024475
34	0.4954176331
35	0.4920684814
36	0.4888001251
37	0.4863899231
38	0.4836292648
39	0.4809860992
40	0.4782840347
41	0.4761735535
42	0.4739006424
43	0.4712612534
44	0.4695426178
45	0.4680666351
46	0.4664114761
47	0.464746933
48	0.4619143677
49	0.4605913925
50	0.4588075638
51	0.4566394424
52	0.4550539398
53	0.4538253403
54	0.4525571823
55	0.4511904144
56	0.449561615
57	0.4486691284
58	0.4474628448
59	0.445728302
60	0.4445451355
61	0.4422670746
62	0.4405871201
63	0.4385506439
64	0.4362054443
65	0.4346259308
66	0.4328705597
67	0.4314140701
68	0.4301165009
69	0.4287884521
70	0.4264731598
71	0.4247222137
72	0.4234341431
73	0.4221032715
74	0.4205834198
75	0.4197972488
76	0.41869133
77	0.4168447495
78	0.4153019714
79	0.413686142
80	0.4117797852
81	0.4109487152
82	0.4096267319
83	0.4085564423
84	0.4077202225
85	0.406027298
86	0.4048911285
87	0.402974472
88	0.4014205933
89	0.4001330566
90	0.3991916275
91	0.398383255
92	0.3968644714
93	0.3963237
94	0.3942153931
95	0.3927062225
96	0.3913169098
97	0.3894561386
98	0.3881502533
99	0.3867703247
100	0.3853907394
101	0.3841760635
102	0.3827481842
103	0.3820220947
104	0.3815100098
105	0.3804269409
106	0.3797911835
107	0.378422699
108	0.3768812943
109	0.3752524185
110	0.3740323257
111	0.3730096436
112	0.3718558502
113	0.3701659393
114	0.3689821243
115	0.3675349426
116	0.3668471527
117	0.3654239655
118	0.3643344879
119	0.3632411194
120	0.3622580719
121	0.3613851166
122	0.3603541183
123	0.3592449188
124	0.3580573654
125	0.3570566559
126	0.3555963135
127	0.3548354721
128	0.3541194153
129	0.3531561279
130	0.3521710205
131	0.3516411591
132	0.3509396362
133	0.3495360184
134	0.3487998199
135	0.3477519989
136	0.346638031
137	0.3458325195
138	0.3445892334
139	0.343997612
140	0.3428983307
141	0.3417011261
142	0.3403787613
143	0.3394197464
144	0.3386533356
145	0.3376272583
146	0.3365476608
147	0.3355192184
148	0.3346116638
149	0.3336768341
150	0.3330799103
151	0.3319962311
152	0.3312823868
153	0.3305693054
154	0.3299349976
155	0.328823204
156	0.327935257
157	0.3268807602
158	0.325975914
159	0.325212059
160	0.3246249771
161	0.3240021515
162	0.3232038879
163	0.3222676468
164	0.3214735794
165	0.3210114288
166	0.3200795746
167	0.3189922523
168	0.318314991
169	0.3175317383
170	0.3168770027
171	0.3160508537
172	0.3153863335
173	0.3148373604
174	0.3137512398
175	0.3132439804
176	0.31214571
177	0.3120615578
178	0.3116156769
179	0.3109107399
180	0.3100830078
181	0.3092308998
182	0.3080121803
183	0.3070341492
184	0.3063672638
185	0.3056900215
186	0.3040608215
187	0.3033291626
188	0.3028505707
189	0.3015954018
190	0.3003229523
191	0.2993847275
192	0.2980052567
193	0.2971071053
194	0.2964897156
195	0.2958973312
196	0.2950914955
197	0.2941241646
198	0.2931824875
199	0.2926883888
200	0.2920049667
201	0.2908078003
202	0.2900562286
203	0.2889786148
204	0.2879137611
205	0.2867959595
206	0.2860390091
207	0.2855548477
208	0.2849499702
209	0.2839805984
210	0.2832876205
211	0.2824244499
212	0.2813466644
213	0.280758419
214	0.2800178909
215	0.2793536758
216	0.278578701
217	0.2774262619
218	0.2768380165
219	0.2758323288
220	0.2747533226
221	0.2739082909
222	0.2730108261
223	0.2718270683
224	0.2710157394
225	0.2703746223
226	0.2693466759
227	0.2682251549
228	0.2675191307
229	0.2669978714
230	0.2660367775
231	0.2654406738
232	0.2646094894
233	0.2639857292
234	0.2633750153
235	0.2621859169
236	0.2618010521
237	0.2609901047
238	0.2605297279
239	0.259798069
240	0.2590309906
241	0.2586527824
242	0.2580931282
243	0.2574211884
244	0.2568021393
245	0.2557324219
246	0.2550330925
247	0.2541763687
248	0.2537149048
249	0.252531147
250	0.2519952583
251	0.2512425232
252	0.2505342293
253	0.2494337845
254	0.248589592
255	0.2477618217
256	0.2469542122
257	0.2465682602
258	0.2458614349
259	0.2452200699
260	0.2441385841
261	0.2435380936
262	0.2430036926
263	0.2423978996
264	0.2417323685
265	0.240811615
266	0.2398139763
267	0.2393896866
268	0.2385933685
269	0.2378174973
270	0.2369966125
271	0.2362779236
272	0.2357689095
273	0.2342931747
274	0.2336051178
275	0.2328612137
276	0.2323579788
277	0.2314608765
278	0.2305022812
279	0.2295841789
280	0.2289608765
281	0.2284468842
282	0.227788105
283	0.2267853546
284	0.2259638214
285	0.2253323746
286	0.2246082497
287	0.2238520622
288	0.2232569122
289	0.2228901291
290	0.2224546432
291	0.2218800545
292	0.2213990211
293	0.2207965851
294	0.2201610756
295	0.2197520447
296	0.2191735077
297	0.2186421585
298	0.2181730652
299	0.217496624
300	0.2170740891
301	0.2163851166
302	0.2157619476
303	0.2147829056
304	0.213978653
305	0.2128100586
306	0.2122091103
307	0.2114822388
308	0.2107664871
309	0.2101732254
310	0.209438858
311	0.2087335587
312	0.2081956863
313	0.2077347565
314	0.2071727943
315	0.2066610336
316	0.2062044144
317	0.2054949188
318	0.2048930168
319	0.2043934822
320	0.2037498474
321	0.2031943703
322	0.2027549744
323	0.2023438263
324	0.2018448257
325	0.2011860275
326	0.200674572
327	0.199972229
328	0.1992203331
329	0.198343277
330	0.1976222992
331	0.1971431732
332	0.1965422058
333	0.1960466766
334	0.1955325699
335	0.1949257278
336	0.1945303726
337	0.1938187408
338	0.1932616425
339	0.192910881
340	0.192279911
341	0.1914924049
342	0.1911198997
343	0.1905255508
344	0.1900377464
345	0.1891145134
346	0.188645401
347	0.1882122421
348	0.1877938843
349	0.1871198273
350	0.1866223907
351	0.1859423828
352	0.1855644608
353	0.1851412201
354	0.1843688393
355	0.1837957382
356	0.1834161758
357	0.1828335571
358	0.182346077
359	0.1818582535
360	0.1813705826
361	0.180807457
362	0.1801161766
363	0.1795375061
364	0.1791775703
365	0.1786544418
366	0.1780976486
367	0.1775218582
368	0.1770868301
369	0.1766125107
370	0.1762873459
371	0.1759330368
372	0.1755121994
373	0.1752490044
374	0.1748292732
375	0.1744823837
376	0.1741288376
377	0.1737596893
378	0.173129921
379	0.1727056885
380	0.1717131042
381	0.1712145233
382	0.1708089447
383	0.1704272652
384	0.1700378609
385	0.1696062851
386	0.1689404678
387	0.168294754
388	0.1676701355
389	0.1669641876
390	0.1664800835
391	0.1659586906
392	0.1652385139
393	0.1645531464
394	0.1642206955
395	0.163626461
396	0.1631439018
397	0.1624750519
398	0.1619133759
399	0.161318512
400	0.1609650421
401	0.1605181122
402	0.1600786972
403	0.1596994114
404	0.1593541336
405	0.1589293957
406	0.1584492874
407	0.1578485966
408	0.1574552536
409	0.1569316864
410	0.156277523
411	0.1557502747
412	0.155343647
413	0.1549405479
414	0.1543950367
415	0.1540272522
416	0.1536359501
417	0.1533009338
418	0.1529480839
419	0.1522789001
420	0.1519238758
421	0.1515906143
422	0.1509669781
423	0.1506662369
424	0.1501522732
425	0.1498865414
426	0.1494782639
427	0.1489473248
428	0.1487327003
429	0.1483050919
430	0.147803154
431	0.1474757767
432	0.1471334457
433	0.1467551422
434	0.1465537071
435	0.1461385918
436	0.1458336258
437	0.1455049801
438	0.1449524021
439	0.1445320702
440	0.1441240692
441	0.1438873672
442	0.143609333
443	0.1432306099
444	0.1430038738
445	0.1425926304
446	0.1421857548
447	0.1417931747
448	0.1413023853
449	0.1409593296
450	0.1405627346
451	0.1402674103
452	0.1399874687
453	0.1393889046
454	0.1389658642
455	0.1384917545
456	0.1381334114
457	0.137823391
458	0.137399559
459	0.137037735
460	0.1367892075
461	0.1364131355
462	0.136098032
463	0.1357688713
464	0.1354382896
465	0.1350815773
466	0.1346333408
467	0.1343626785
468	0.1339933205
469	0.1335086632
470	0.1331959724
471	0.1328176785
472	0.1325329685
473	0.1321538544
474	0.1317741585
475	0.1314031601
476	0.131132555
477	0.1308586884
478	0.1305087566
479	0.1302266312
